100,0,0,0.212314,2.76008,1.91083,1.69851,0,0,0.212314,0.212314,0.212314,0.212314,0,0,0.424628,0.424628,0,0.212314,17.8344,0.212314,0,18.0467,17.8344,0,0,0.424628
0,100,3.58852,32.7751,0.239234,0.239234,0,0.239234,0.717703,4.54545,0.239234,0.478469,0.478469,0.956938,3.82775,0,1.19617,0,6.9378,0.478469,0.239234,0.239234,0.478469,0.239234,2.39234,0.239234,1.19617
0,2.89017,100,2.89017,0.192678,0,0,0,0.963391,3.66089,0,0.770713,2.31214,5.00963,1.15607,0.385356,5.39499,0,3.66089,0.770713,0,0.385356,0.192678,0,0.192678,0,5.39499
0.283286,38.8102,4.24929,100,0,0,0,1.13314,3.39943,7.08215,0,0,1.983,0,3.96601,0,3.39943,0.283286,6.23229,0.283286,0.566572,0,0.283286,0,0.849858,0.283286,3.39943
3.05882,0.235294,0.235294,0,100,20.9412,3.76471,0.235294,0,0,0.705882,0.470588,0.235294,0.235294,0,0,0.235294,13.6471,0.235294,5.41176,0,0.470588,5.41176,4.23529,0.470588,0,0.705882
2.5,0.277778,0,0,24.7222,100,2.5,0,0.277778,0.833333,0.277778,0.833333,0,0,1.11111,0,0.277778,26.1111,0,2.5,0,0.555556,3.05556,1.94444,0.277778,0,0
2.44648,0,0,0,4.89297,2.75229,100,0.30581,0,0,0.917431,0.611621,0,0.30581,0.917431,0.30581,0.30581,0.30581,0.30581,4.89297,0.611621,0.30581,5.19878,3.97554,0,0,0.30581
0,0.147493,0,0.58997,0.147493,0,0.147493,100,0,0,0,0,0.294985,0.294985,0,0,0.294985,0.294985,0.147493,0.442478,0,0.147493,0.147493,0.147493,2.65487,4.86726,0.442478
0,0.489396,0.815661,1.95759,0,0.163132,0,0,100,11.9086,0.163132,0.163132,1.63132,0.489396,0.815661,0,3.26264,0.326264,0.652529,0.326264,0.163132,0.163132,0.163132,0,0.489396,0.489396,3.58891
0.139082,2.64256,2.64256,3.47705,0,0.417246,0,0,10.153,100,0,0,0.417246,0,4.03338,0.139082,0.973574,0.139082,2.78164,0,0.139082,0,0.278164,0.417246,0.417246,0.139082,0.834492
0.17094,0.17094,0,0,0.512821,0.17094,0.512821,0,0.17094,0,100,31.9658,0.17094,0.34188,1.02564,0,0.17094,0.512821,0.17094,0.17094,0.512821,0.17094,0.34188,0.34188,0.17094,0.34188,0.17094
0.18018,0.36036,0.720721,0,0.36036,0.540541,0.36036,0,0.18018,0,33.6937,100,0.18018,0,0.720721,0,0.36036,0.540541,0.18018,0.540541,0.36036,0.18018,0.720721,0,0,0,0.540541
0.263158,0.526316,3.15789,1.84211,0.263158,0,0,0.526316,2.63158,0.789474,0.263158,0.263158,100,0.263158,0,0,5.26316,0.789474,0.789474,0,0,0.789474,0,0.263158,0.789474,0.526316,5.26316
0,1.08696,7.06522,0,0.271739,0,0.271739,0.543478,0.815217,0,0.543478,0,0.271739,100,0,0.543478,6.25,0.543478,0.271739,0.271739,0.271739,0.271739,0.815217,0,0.271739,0,5.70652
0,2.56,0.96,2.24,0,0.64,0.48,0,0.8,4.64,0.96,0.64,0,0,100,0.48,0,0,3.2,0.16,0.48,0.32,0,0,0.64,0.16,0
0.353357,0,0.353357,0,0,0,0.176678,0,0,0.176678,0,0,0,0.353357,0.530035,100,0,0,0.530035,0.176678,0.353357,0.530035,0.176678,0.353357,0,0,0
0.457666,1.14416,6.40732,2.746,0.228833,0.228833,0.228833,0.457666,4.57666,1.60183,0.228833,0.457666,4.57666,5.26316,0,0,100,0.228833,2.51716,0.457666,0,0.686499,0.228833,0,10.5263,0.915332,100
0,0,0,0.206612,11.9835,19.4215,0.206612,0.413223,0.413223,0.206612,0.619835,0.619835,0.619835,0.413223,0,0,0.206612,100,0.413223,1.8595,0.413223,0.206612,1.65289,0.206612,0,0,0.826446
0.17762,5.15098,3.37478,3.90764,0.17762,0,0.17762,0.17762,0.71048,3.5524,0.17762,0.17762,0.53286,0.17762,3.5524,0.53286,1.95382,0.35524,100,0.17762,0.35524,0.35524,0,0,2.30906,0.53286,1.7762
11.7483,0.27972,0.559441,0.13986,3.21678,1.25874,2.23776,0.41958,0.27972,0,0.13986,0.41958,0,0.13986,0.13986,0.13986,0.27972,1.25874,0.13986,100,0.27972,0,18.3217,15.6643,0.13986,0,0.27972
0.141044,0.141044,0,0.282087,0,0,0.282087,0,0.141044,0.141044,0.423131,0.282087,0,0.141044,0.423131,0.282087,0,0.282087,0.282087,0.282087,100,1.97461,0.141044,0.423131,0.141044,0.282087,0.141044
0,0.153139,0.306279,0,0.306279,0.306279,0.153139,0.153139,0.153139,0,0.153139,0.153139,0.459418,0.153139,0.306279,0.459418,0.459418,0.153139,0.306279,0,2.14395,100,0,0,0.153139,0.153139,0.612557
15.6538,0.368324,0.184162,0.184162,4.23573,2.02578,3.13076,0.184162,0.184162,0.368324,0.368324,0.736648,0,0.552486,0,0.184162,0.184162,1.4733,0,24.1252,0.184162,0,100,26.5193,0.184162,0.184162,0.184162
17.7215,0.21097,0,0,3.79747,1.47679,2.74262,0.21097,0,0.632911,0.421941,0,0.21097,0,0,0.421941,0,0.21097,0,23.6287,0.632911,0,30.3797,100,0.21097,0.21097,0.421941
0,1.9084,0.19084,0.572519,0.381679,0.19084,0,3.43511,0.572519,0.572519,0.19084,0,0.572519,0.19084,0.763359,0,8.77863,0,2.48092,0.19084,0.19084,0.19084,0.19084,0.19084,100,2.8626,8.96947
0,0.155763,0,0.155763,0,0,0,5.14019,0.46729,0.155763,0.311526,0,0.311526,0,0.155763,0,0.623053,0,0.46729,0,0.311526,0.155763,0.155763,0.155763,2.33645,100,0.311526
0.457666,1.14416,6.40732,2.746,0.686499,0,0.228833,0.686499,5.03433,1.373,0.228833,0.686499,4.57666,4.80549,0,0,100,0.915332,2.28833,0.457666,0.228833,0.915332,0.228833,0.457666,10.7551,0.457666,100
